certificate_id,verification_status,is_revoked,has_blockchain_tx,has_wallet_address,wallet_reuse_count,blockchain_network,honors,grade_numeric,completion_percentage,total_lessons,completed_lessons,total_quizzes,passed_quizzes,average_quiz_score,total_time_spent_min,certificate_age_hours,blockchain_delay_minutes,total_verifications,successful_verifications,failed_verifications,suspicious_attempts,unique_verifier_ips,unique_user_agents,avg_response_time_ms,max_suspicious_score,verification_window_hours,likely_fraud_label
CERT-2026-EBF6FC9DA569,verified,0,0,0,0,,0,1,100,1,1,0,0,0,1,1006.8233,-1,0,0,0,0,0,0,0,0,0,0
CERT-2026-68DC2AE4327C,verified,0,0,0,0,,0,1,100,1,1,0,0,0,1,1006.0824,-1,2,0,2,0,1,2,147.5,0,918.8727,1
CERT-2026-FCE50CC009BC,verified,0,0,0,0,,0,1,100,1,1,0,0,0,1,1000.2288,-1,2,2,0,0,1,1,470.5,0,23.5153,0
CERT-2026-EF349195DBAA,verified,0,0,0,0,,0,1,100,1,1,0,0,0,1,983.2257,-1,4,4,0,0,1,1,148.25,0,281.4958,0
CERT-2026-FC1BC8B10D00,verified,0,0,0,0,,0,1,100,1,1,0,0,0,1,982.2548,-1,3,3,0,0,1,1,2279.6667,0,0.0157,0
CERT-2026-64356773E7F9,verified,0,0,0,0,,0,1,100,1,1,0,0,0,1,960.5752,-1,3,3,0,0,1,1,104,0,0.0089,0
CERT-2026-32AEB9F32AB5,verified,0,1,0,0,sepolia,0,1,100,1,1,0,0,0,1,677.5606,0.2229,4,4,0,0,1,1,461.5,0,0.3219,0
CERT-2026-07A9D6B13866,verified,0,1,0,0,sepolia,0,1,100,1,1,0,0,0,1,579.5445,0.255,2,2,0,0,1,1,350,0,0.0002,0
CERT-2026-235EF2BD442E,verified,0,1,0,0,sepolia,0,1,100,1,1,0,0,0,1,551.0008,0.2341,1,1,0,0,1,1,557,0,0,0
CERT-2026-5EE93DDB8AFD,verified,0,1,0,0,sepolia,0,1,100,1,1,0,0,0,1,550.0423,0.1229,1,1,0,0,1,1,539,0,0,0
CERT-2026-6A5A03746D93,verified,0,1,0,0,sepolia,0,1,100,1,1,0,0,0,1,549.8486,0.1016,1,1,0,0,1,1,546,0,0,0
CERT-2026-231CE392EA06,verified,0,1,0,0,sepolia,0,1,100,1,1,0,0,0,1,549.6667,0.1826,2,2,0,0,1,1,573.5,0,0.0123,0
CERT-2026-50E13BEB5A54,verified,0,1,0,0,sepolia,0,1,100,1,1,0,0,0,0,411.3512,0.2524,0,0,0,0,0,0,0,0,0,0
CERT-2026-D540303112DA,verified,0,1,0,0,sepolia,0,1,100,1,1,0,0,0,0,411.2163,0.1615,0,0,0,0,0,0,0,0,0,0
CERT-2026-0862AD61BCDB,verified,0,1,0,0,sepolia,0,1,100,1,1,0,0,0,0,410.9354,0.1042,0,0,0,0,0,0,0,0,0,0
CERT-2026-F4950DFAE853,verified,0,1,0,0,sepolia,0,1,100,1,1,0,0,0,0,410.7798,0.1684,0,0,0,0,0,0,0,0,0,0
SYNTH-1773907816345-00001,verified,0,0,0,0,,0,2,100,30,30,3,2,63,611,625.2825,-1,6,5,1,0,6,2,436.6667,10,0.0002,0
SYNTH-1773907816345-00002,verified,0,0,0,0,,0,4,100,17,17,11,9,76,1914,1681.2821,-1,8,8,0,0,8,3,548.75,10,0.0003,0
SYNTH-1773907816345-00003,verified,0,0,0,0,,0,3,100,24,24,3,1,72,2125,2185.2817,-1,5,3,2,0,5,4,728.6,20,0.0002,0
SYNTH-1773907816345-00004,verified,0,0,0,0,,0,4,100,34,34,9,7,75,1135,289.2815,-1,5,5,0,0,5,3,560.4,0,0.0002,0
SYNTH-1773907816345-00005,verified,0,0,0,0,,1,7,100,30,30,4,4,96,1616,985.2813,-1,4,3,1,0,4,2,610.25,0,0.0001,0
SYNTH-1773907816345-00006,verified,0,0,0,0,,1,7,100,35,35,6,4,98,309,3193.2811,-1,4,2,2,0,4,3,706.5,0,0.0001,0
SYNTH-1773907816345-00007,verified,0,0,0,0,,0,2,100,28,28,9,9,56,2092,457.2809,-1,6,0,6,0,6,3,785.5,30,0.0002,1
SYNTH-1773907816345-00008,verified,0,0,0,0,,0,4,100,10,10,5,3,81,2228,3601.2806,-1,6,3,3,0,6,3,769.8333,10,0.0003,0
SYNTH-1773907816345-00009,verified,0,0,0,0,,0,4,100,10,10,12,11,81,2673,3481.2803,-1,5,5,0,0,5,3,653.8,0,0.0002,0
SYNTH-1773907816345-00010,verified,0,0,0,0,,0,4,100,12,12,12,11,83,3262,265.28,-1,2,2,0,0,2,2,656,0,0,0
SYNTH-1773907816345-00011,verified,0,0,0,0,,1,7,100,14,14,11,10,99,1209,2545.2799,-1,3,3,0,0,3,2,235.3333,0,0.0001,0
SYNTH-1773907816345-00012,verified,0,0,0,0,,0,4,100,19,19,5,5,84,643,1201.2798,-1,3,2,1,0,3,1,495.6667,0,0.0001,0
SYNTH-1773907816345-00013,verified,0,0,0,0,,0,4,100,13,13,8,7,79,1518,4273.2796,-1,3,2,1,0,3,3,451.6667,0,0.0001,0
SYNTH-1773907816345-00014,verified,0,0,0,0,,1,7,100,14,14,9,8,99,2811,1297.2795,-1,7,4,3,0,7,3,807.8571,10,0.0003,0
SYNTH-1773907816345-00015,verified,0,0,0,0,,0,3,100,30,30,3,3,67,3252,1201.2791,-1,5,5,0,0,5,3,756,0,0.0002,0
SYNTH-1773907816345-00016,verified,0,0,0,0,,1,7,100,10,10,5,5,96,261,217.2789,-1,8,0,8,0,8,3,612.625,30,0.0003,1
SYNTH-1773907816345-00017,verified,0,0,0,0,,1,7,100,18,18,4,3,98,2521,3649.2785,-1,3,3,0,0,3,3,951,0,0.0063,0
SYNTH-1773907816345-00018,verified,0,0,0,0,,0,6,100,24,24,8,6,90,2462,1705.2721,-1,7,6,1,0,7,3,565.8571,0,0.0003,0
SYNTH-1773907816345-00019,verified,0,0,0,0,,0,6,100,28,28,11,10,90,2454,2161.2718,-1,3,2,1,0,3,2,415,0,0.0001,0
SYNTH-1773907816345-00020,verified,0,0,0,0,,0,2,100,27,27,7,7,58,690,3457.2716,-1,8,6,2,0,8,3,678,0,0.0003,0
SYNTH-1773907816345-00021,verified,0,0,0,0,,0,4,100,35,35,5,5,82,197,841.2713,-1,5,4,1,0,5,3,699.2,0,0.0002,0
SYNTH-1773907816345-00022,verified,0,0,0,0,,0,4,100,17,17,5,5,84,373,961.271,-1,3,2,1,0,3,3,611.6667,0,0.0001,0
SYNTH-1773907816345-00023,verified,0,0,0,0,,0,4,100,32,32,5,4,81,1836,1945.2708,-1,8,5,3,0,8,3,750.875,10,0.0003,0
SYNTH-1773907816345-00024,verified,0,0,0,0,,0,5,100,34,34,9,9,86,1309,2377.2704,-1,8,4,4,0,8,2,853.125,0,0.0003,0
SYNTH-1773907816345-00025,verified,0,0,0,0,,0,4,100,12,12,7,7,76,2771,2281.27,-1,8,4,4,0,8,3,392.625,0,0.0003,0
SYNTH-1773907816345-00026,verified,0,0,0,0,,0,3,100,26,26,9,8,73,1635,793.2697,-1,6,4,2,0,6,3,581.3333,0,0.0002,0
SYNTH-1773907816345-00027,verified,0,0,0,0,,0,4,100,19,19,5,3,75,995,2953.2694,-1,5,4,1,0,5,3,515.2,10,0.0002,0
SYNTH-1773907816345-00028,verified,0,0,0,0,,0,3,100,19,19,3,3,66,527,961.2692,-1,4,3,1,0,4,3,958.75,0,0.0001,0
SYNTH-1773907816345-00029,verified,0,0,0,0,,0,3,100,31,31,7,5,72,515,313.2689,-1,3,2,1,0,3,2,397.3333,0,0.0001,0
SYNTH-1773907816345-00030,verified,0,0,0,0,,0,5,100,12,12,9,7,89,1814,193.2688,-1,5,4,1,0,5,3,658.4,0,0.0002,0
SYNTH-1773907816345-00031,verified,0,0,0,0,,0,4,100,32,32,12,11,83,1260,1129.2685,-1,4,2,2,0,4,2,265,10,0.0001,0
SYNTH-1773907816345-00032,verified,0,0,0,0,,1,7,100,26,26,5,4,96,2731,2377.2684,-1,5,2,3,0,5,3,311.8,0,0.0002,1
SYNTH-1773907816345-00033,verified,0,0,0,0,,0,4,100,18,18,7,6,83,2717,3001.2681,-1,7,6,1,0,7,3,529.4286,0,0.0003,0
SYNTH-1773907816345-00034,verified,0,0,0,0,,0,3,100,20,20,3,1,72,625,2041.2678,-1,6,3,3,0,6,3,754.3333,10,0.0002,0
SYNTH-1773907816345-00035,verified,0,0,0,0,,0,4,100,12,12,3,2,76,1382,3841.2675,-1,7,4,3,0,7,3,906.4286,0,0.0003,0
SYNTH-1773907816345-00036,verified,0,0,0,0,,0,4,100,32,32,7,7,79,3098,1081.2672,-1,2,2,0,0,2,1,535,0,0,0
SYNTH-1773907816345-00037,verified,0,0,0,0,,0,2,100,16,16,11,10,58,3594,3001.267,-1,6,4,2,0,6,3,904.8333,0,0.0002,0
SYNTH-1773907816345-00038,verified,0,0,0,0,,0,3,100,29,29,7,6,74,2564,2569.2668,-1,6,4,2,0,6,3,552.8333,0,0.0002,0
SYNTH-1773907816345-00039,verified,0,0,0,0,,1,6,100,31,31,9,9,94,2216,4129.2665,-1,4,3,1,0,4,3,780.25,0,0.0001,0
SYNTH-1773907816345-00040,verified,0,0,0,0,,0,5,100,17,17,7,5,85,1532,481.2663,-1,8,6,2,0,8,3,678.375,10,0.0003,0
